file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20251013_113934_result.json,yes,323,yes,60,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113951_result.json,yes,187,yes,98,yes,con thinking,66,female,4,New York,,no formal education,employed full-time,non-binary,volunteering;travel,single,immigrant,sales associate,high,93,moderate,40,moderate,43,high,86,high,81,vocational diploma,lower secondary,depressed,Islam,heterosexual,You spend roughly a few times weekly on social media
20251013_113958_result.json,yes,246,yes,72,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114037_result.json,yes,105,yes,48,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114106_result.json,yes,320,yes,95,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114126_result.json,yes,270,yes,149,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114135_result.json,yes,184,yes,151,yes,con thinking,64,male,2,Bologna,,primary school,employed part-time,man,cinema;photography;birdwatching;gardening;cycling,single,native Italian,cleaner,moderate,52,moderate,40,moderate,47,moderate,48,high,79,PhD,bachelor's degree,anxious,Christianity,heterosexual,You spend roughly one hour daily on social media
20251013_114146_result.json,yes,361,yes,103,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114153_result.json,yes,155,yes,127,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114206_result.json,yes,186,yes,141,yes,con thinking,85,female,0,Philadelphia,,primary school,employed full-time,genderqueer,gardening;painting;yoga;volunteering;rock climbing,divorced,native American,delivery driver,moderate,55,low,16,moderate,66,high,75,high,86,lower secondary,bachelor's degree,normal,Islam,bisexual,You spend a few times monthly on social media
20251013_114235_result.json,yes,138,yes,138,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114254_result.json,yes,259,yes,188,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114309_result.json,yes,253,yes,124,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114328_result.json,yes,204,yes,116,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114339_result.json,yes,379,yes,68,yes,con thinking,47,female,4,Philadelphia,,PhD,self-employed,woman,rock climbing;cinema;photography;volunteering;knitting,married,native American,university professor,moderate,54,moderate,33,high,84,low,1,low,32,PhD,bachelor's degree,curious,Islam,bisexual,You spend roughly a few times weekly on social media
20251013_114359_result.json,yes,211,yes,45,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114411_result.json,yes,390,yes,161,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114428_result.json,yes,359,yes,94,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114449_result.json,yes,323,yes,99,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114516_result.json,yes,263,yes,126,yes,con thinking,20,male,0,Philadelphia,,bachelor's degree,self-employed,man,volunteering;hiking;gardening,in a relationship,native American,sales associate,high,98,high,68,low,15,low,20,high,97,vocational diploma,vocational diploma,normal,Hinduism,heterosexual,You have no social media
20251013_114539_result.json,yes,159,yes,51,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114549_result.json,yes,318,yes,169,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114555_result.json,yes,152,yes,100,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
